id,host_id,price,neighbourhood,room_type,number_of_reviews,property_type,accommodates,bedrooms,bathrooms,price_raw,price_outlier_iqr
39064873,299415932,173.0,Downtown Eastside,Entire home/apt,500,Entire rental unit,2,1.0,1.0,$173.00,False
39092193,131221603,238.0,South Cambie,Entire home/apt,24,Entire guest suite,4,2.0,1.0,$238.00,False
39114405,299095641,175.0,Downtown,Entire home/apt,95,Entire rental unit,5,3.0,2.0,$175.00,False
39179616,296621330,177.0,Kitsilano,Entire home/apt,50,Entire guest suite,2,1.0,1.0,$177.00,False
39228808,9537622,111.0,Grandview-Woodland,Entire home/apt,134,Entire guest suite,2,1.0,1.0,$111.00,False
39250456,945960,87.0,Kensington-Cedar Cottage,Entire home/apt,203,Entire guest suite,2,1.0,1.0,$87.00,False
39252205,134291769,100.0,Mount Pleasant,Entire home/apt,9,Entire home,3,2.0,1.0,$100.00,False
39258825,301400708,131.0,West End,Private room,10,Private room in condo,2,1.0,1.0,$131.00,False
39259074,56643031,269.0,West End,Entire home/apt,48,Entire condo,4,1.0,1.0,$269.00,False
39321923,263963234,123.0,Downtown,Entire home/apt,35,Entire condo,4,1.0,1.0,$123.00,False
39340389,4292086,110.0,Downtown Eastside,Entire home/apt,52,Entire loft,2,1.0,1.0,$110.00,False
39390429,69754890,145.0,Downtown,Entire home/apt,23,Entire rental unit,2,1.0,1.0,$145.00,False
39393407,292989397,170.0,Renfrew-Collingwood,Entire home/apt,52,Entire guest suite,2,1.0,1.0,$170.00,False
39421282,301560008,93.0,Kensington-Cedar Cottage,Entire home/apt,135,Entire guest suite,2,1.0,1.0,$93.00,False
39442065,208730248,104.0,Fairview,Private room,71,Private room in condo,2,1.0,1.0,$104.00,False
39535545,47497502,154.0,Mount Pleasant,Entire home/apt,443,Entire loft,4,1.0,1.0,$154.00,False
39536993,2551475,324.0,Kensington-Cedar Cottage,Entire home/apt,84,Entire townhouse,5,3.0,2.0,$324.00,False
39553326,58955378,87.0,Downtown,Entire home/apt,23,Entire rental unit,2,1.0,1.0,$87.00,False
39563643,303992727,251.0,Marpole,Entire home/apt,108,Entire home,8,4.0,1.0,$251.00,False
39588544,126456251,37.0,Riley Park,Private room,27,Private room in home,1,1.0,1.0,$37.00,False
39589085,126456251,56.0,Riley Park,Private room,19,Private room in home,1,1.0,1.0,$56.00,False
39613073,304390267,100.0,Victoria-Fraserview,Private room,239,Private room in guest suite,4,2.0,1.0,$100.00,False
39703281,305158815,630.0,Downtown,Entire home/apt,95,Tower,8,3.0,2.0,$630.00,True
39746838,2861600,593.0,Fairview,Entire home/apt,127,Entire townhouse,4,2.0,2.0,$593.00,True
39872694,11308804,379.0,Downtown,Entire home/apt,53,Entire condo,5,2.0,2.0,$379.00,False
39919682,30899,275.0,Downtown,Entire home/apt,1,Entire rental unit,5,2.0,2.0,$275.00,False
39973193,13138428,1605.0,Oakridge,Entire home/apt,100,Entire home,16,7.0,8.5,"$1,605.00",True
39974889,152495859,237.0,Dunbar Southlands,Entire home/apt,319,Entire guest suite,6,2.0,1.0,$237.00,False
39995253,308400448,195.0,Downtown,Entire home/apt,327,Entire condo,4,1.0,1.0,$195.00,False
40071392,309115619,244.0,Kitsilano,Private room,10,Private room in bed and breakfast,4,2.0,2.5,$244.00,False
40094810,309385907,156.0,Hastings-Sunrise,Entire home/apt,18,Entire guest suite,2,1.0,1.0,$156.00,False
40145842,309899751,169.0,Downtown Eastside,Entire home/apt,191,Entire home,6,3.0,2.0,$169.00,False
40184621,188443874,175.0,Victoria-Fraserview,Entire home/apt,161,Entire home,8,4.0,3.0,$175.00,False
40206658,113134300,151.0,West End,Entire home/apt,7,Entire condo,3,1.0,1.0,$151.00,False
40208334,22309452,100.0,Mount Pleasant,Entire home/apt,317,Entire condo,2,1.0,1.0,$100.00,False
40222684,4484250,399.0,Kitsilano,Entire home/apt,57,Entire rental unit,3,2.0,2.0,$399.00,False
